"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","website","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","subcategories/0","category","rankingDenominator","rankingPosition","name","priceRange","address","webUrl","latitude","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","phone","type","email","rating","menuWebUrl","localName","description","locationString","localAddress","rankingString","image","photoCount","openNowText","rawRanking","priceLevel","numberOfReviews","isClosed","isLongClosed","id"
"Italian","Pizza","Mediterranean","European","Tuscan","Central-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"Africa/Nairobi","1350","750",,,,,"1350","750",,,,,"1350","750",,,,,"1350","750",,,,,"1350","750",,,,,"1350","750",,,,,"1350","750",,,,,"http://www.kempinski.com/en/nairobi/hotel-villa-rosa/dining/restaurants/lucca/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch",,,,"Lunch","Dinner","Brunch",,,,"Nairobi","Kenya","00800",,"Chiromo Road","Villa Rosa Kempinski","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Valet Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Live Music",,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasta","Lasagne","Salad","Lamb chops","Risotto","Tiramisu","Focaccia","Bolognese","Salmon","Beef","Lamb","Pesto","Fish",,,,,,,,,,,"Sit down","restaurant","832","52","Lucca",,"Chiromo Road Villa Rosa Kempinski, Nairobi 00800 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d6507827-Reviews-Lucca-Nairobi.html","-1.271522","36.808662",,,"10","10","27","65","136","+254 20 3603000","RESTAURANT","dining.villarosa@kempinski.com","4",,"","As soon as you enter the Trattoria style surroundings of LUCCA Restaurant and Deli, the tantalizing and intoxicating aromas of home cooked Italian food really stimulate those taste buds. The team of Chefs at LUCCA use the finest ingredients to deliver the greatest home cooked food, just what is required for a delicious dining experience. LUCCA has become an instant hit with guests because of its relaxed atmosphere and delicious Italian cuisine. Designed with friends and family in mind, this venue is the perfect place to trade stories about another exciting day in Nairobi.","Nairobi",,"#52 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0a/e5/36/f6/img-20160410-143453-largejpg.jpg","101","Open Now","3.835245370864868","$$$$","248","false","false","6507827"
"Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.facebook.com/FurusatoNairobi/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Nairobi","Kenya",,,"Ring Road Parklands","Westlands","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noodle","Lobster","Tempura","Salad","Salmon","Tuna","Prawns","Fish Soup","Beef","Gyoza","Sashimi","Fish",,,,,,,,,,,,"Sit down","restaurant","832","63","Furusato Japanese Restaurant",,"Ring Road Parklands Westlands, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1214153-Reviews-Furusato_Japanese_Restaurant-Nairobi.html","-1.255684","36.806877",,,"17","7","43","154","123","+254 722 488706","RESTAURANT","furusatonairobi@gmail.com","4",,"",,"Nairobi",,"#63 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0c/5d/e3/c0/photo0jpg.jpg","110",,"3.694227457046509","$$ - $$$","344","false","false","1214153"
"International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sarovahotels.com/panafric/dining",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Nairobi","Kenya","00100",,"Kenyatta Avenue",,"Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Table Service","Highchairs Available","Free Wifi",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Burger","Salad","Prawns","Lamb","Pork",,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","51","Flame Tree Restaurant","KES 1,334 - KES 5,188","Kenyatta Avenue, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d3264614-Reviews-Flame_Tree_Restaurant-Nairobi.html","-1.28982","36.810555","20484494","Upper Hill Estate","3","10","19","44","96","+254 709 111000","RESTAURANT","panafric@sarovahotels.com","4.5",,"",,"Nairobi",,"#51 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/08/21/c8/ea/the-drive-up.jpg","96",,"3.864079236984253","$$ - $$$","172","false","false","3264614"
"Seafood","Gluten Free Options","Vegetarian Friendly",,,,,,,,,,,,,,"Africa/Nairobi","1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"http://www.experienceseven.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","00100",,"ABC Place","Waiyaki Way","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Accepts Mastercard","Accepts Visa","Reservations","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crab","Fish & Chips","Burger","Lasagne","Lobster","Oyster","Paella","Shrimp","Salad","Calamari","Chili","Risotto","Salmon","Tuna","Prawns","Octopus","Seafood Platters","Beef","Duck","Fish",,,,"Sit down","restaurant","832","46","Seven Seafood & Grill",,"ABC Place Waiyaki Way, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1986396-Reviews-Seven_Seafood_Grill-Nairobi.html","-1.259951","36.776424",,,"12","22","42","147","200","+254 737 776677","RESTAURANT","reservations@experienceseven.com","4","https://www.experienceseven.com/menus/","","Already considered to be Nairobi’s premier Seafood & Steak destination, Seven Seafood & Grill offers a sumptuous selection of the finest Indian Ocean seafood and grass fed Angus/Borana steaks in one of Nairobi’s most distinctive & innovatively designed restaurants. A mouth-watering array of oysters, lobsters, prawns & ocean fish are delivered daily, freshly prepared & accompanied by Seven’s signature sauces. Meat lovers are well catered for with exclusive, hand-selected cuts of Kenya’s finest beef that have been carefully aged, butchered in house, slow cooked or grilled to your liking & presented in a variety of forms such as gourmet sandwiches, gourmet burgers but most importantly gourmet steaks that will take your palate on a culinary journey like never before. Our newly launched fully equipped Private Dining Area comprising a Chef's table & private bar serves as the ideal venue for your personal or business functions. In a nutshell, join us for your most unique dining experience.","Nairobi",,"#46 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/13/e2/0c/30/certainly-nairobi-s-most.jpg","193","Open Now","3.939448356628418","$$$$","421","false","false","1986396"
"International","Vegetarian Friendly",,,,,,,,,,,,,,,"Africa/Nairobi","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","http://www.facebook.com/MercureNairobi",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Drinks","Dinner","Brunch",,"Breakfast","Lunch","Drinks","Dinner","Brunch",,"Nairobi","Kenya","00100",,"Kenya Road, UpperHill","Crown Plaza","Reservations","Parking Available","Serves Alcohol","Digital Payments","Free Wifi","Outdoor Seating","Buffet","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","54","Baraka Restaurant",,"Kenya Road, UpperHill Crown Plaza, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d5029895-Reviews-Baraka_Restaurant-Nairobi.html","-1.300354","36.815372",,,"0","1","2","10","52","+254 20 2746040","RESTAURANT","mercure.nairobi@accor.com","4.5",,"","An all-day dining restaurant located on the ground floor of the Hotel with a full buffet breakfast, as well as an A-La-Carte menu.","Nairobi",,"#54 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/12/1e/e3/96/baraka-restaurant.jpg","41","Open Now","3.80485463142395","$$ - $$$","64","false","false","5029895"
"Italian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,"Africa/Nairobi","1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"http://www.360degreespizza.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch","Late Night",,,"Lunch","Dinner","Brunch","Late Night",,,"Nairobi","Kenya","00505",,"Waiyaki Way","ABC Place, Waiyaki Way, Westlands","Delivery","Takeout","Reservations","Outdoor Seating","Seating","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasta","Salad","Prosciutto","Meatballs","Gelato","Pesto",,,,,,,,,,,,,,,,,,"Café","restaurant","832","49","360 Degrees Pizza - ABC Place","KES 59,294 - KES 296,472","Waiyaki Way ABC Place, Waiyaki Way, Westlands, Nairobi 00505 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d5038688-Reviews-360_Degrees_Pizza_ABC_Place-Nairobi.html","-1.259592","36.776505",,,"8","6","30","116","116","+254 733 360360","RESTAURANT","info@360degreespizza.com","4","http://www.360degreespizza.com/menu","","360 Degrees Artisan Pizza is an upscale casual restaurant serving authentic Neapolitan Pizza in a warm and lively modern atmosphere.","Nairobi",,"#49 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0f/83/75/46/caption.jpg","66","Open Now","3.8664345741271973","$$ - $$$","276","false","false","5038688"
"Mexican","Latin","Central American","Street Food","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"Africa/Nairobi",,,,,,,"60","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://fondanbo.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"Breakfast","Lunch","Dinner","Brunch",,,"Nairobi","Kenya","00621",,"Limuru Road","Unit 320, Rosslyn Riviera Mall","Takeout","Outdoor Seating","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Reservations",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tortillas","Fish Taco","Tacos","Queso","Tres Leches","Beef","Lamb","Fish","Pork",,,,,,,,,,,,,,,"Sit down","restaurant","832","42","Fonda NBO","KES 2,224 - KES 5,188","Limuru Road Unit 320, Rosslyn Riviera Mall, Nairobi 00621 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12919341-Reviews-Fonda_NBO-Nairobi.html","-1.216161","36.79926",,,"8","10","7","35","150","+2 54 748 458 856","RESTAURANT","reservations@fondanbo.com","4.5","https://fondanbo.com/","","Fonda NBO serves authentic mexican soul food made from the finest of locally-sourced organic ingredients. Wholesome, authentic and intensely flavourful dishes and drinks plated to engage all your senses. The warm comfortable, rustic family environment, reminiscent of both today's and yesterday's Mexico. Bienvenidos - Karibu!.","Nairobi",,"#42 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/1b/b7/d0/7f/fonda-s-taqueria-recreating.jpg","190","Closed today","3.9558682441711426","$$ - $$$","210","false","false","12919341"
"Asian","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"Africa/Nairobi","870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"http://www.sarovahotels.com/stanley-nairobi/culinary-experiences/thai-chi.html",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Nairobi","Kenya","",,"Kenyatta Avenue & Kimathi Street","","Reservations","Seating","Parking Available","Valet Parking","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noodle","Pad Thai","Salad","Chili","Curry","Green Curry","Prawns","Beef","Duck","Lamb","Fish","Pork",,,,,,,,,,,,"Sit down","restaurant","832","50","Thai Chi Restaurant - The Stanley Hotel","KES 5,929 - KES 7,412","Kenyatta Avenue & Kimathi Street, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1104866-Reviews-Thai_Chi_Restaurant_The_Stanley_Hotel-Nairobi.html","-1.284044","36.82303","20484493","Nairobi Central Business District","16","10","34","85","202","+254 20 2757000","RESTAURANT","sarovastanley@sarovahotels.com","4.5","https://cdn.sarovahotels.com/stanley-nairobi/images/THAI-CHI-SET-MENU.pdf","","A small piece of Thailand in Nairobi, Thai Chi has been awarded as the most authentic Thai restaurant in East Africa. With its traditional Thai decor and delectable Thai specialties prepared by experienced chefs from Thailand, Thai Chi is one of Nairobi's most elegant dining establishments.","Nairobi",,"#50 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/0f/22/64/thai-chi-restaurant.jpg","45","Open Now","3.8642711639404297","$$$$","347","false","false","1104866"
"Fast Food","International","Fusion","Street Food","Vegetarian Friendly",,,,,,,,,,,,"Africa/Nairobi","1350","600",,,,,"1290","600",,,,,"1290","600",,,,,"1350","600",,,,,"1350","600",,,,,"1440","600",,,,,"1440","600",,,,,"http://www.mamarocksburgers.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night","Drinks",,,"Lunch","Dinner","Late Night","Drinks",,,"Nairobi","Kenya","00800",,"The Alchemist","Parklands Road","Takeout","Parking Available","Street Parking","Television","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Delivery","Seating","Wheelchair Accessible","Serves Alcohol",,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger",,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","48","Mama Rocks Gourmet Burgers - The Alchemist","KES 1,038 - KES 1,482","The Alchemist Parklands Road, Nairobi 00800 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12119585-Reviews-Mama_Rocks_Gourmet_Burgers_The_Alchemist-Nairobi.html","-1.262315","36.803654",,,"2","1","4","19","51","+254 705 801230","RESTAURANT","info@mamarocksburgers.com","4.5",,"","GOURMET BURGERS AFRICAN STYLE Bringing the African inspired ‘Gourmet Burger’ to the vibrant city of Nairobi, Mama Rocks is pioneering the Nairobi street food scene with an afro-cool food truck like no other. Created with love and the freshest, natural ingredients, every care has been taken to produce our range of exciting and unique burgers. Mama Rocks is brought to you by us, Samantha and Natalie, sisters who just want you to have great food and have fun! On a regular day you will find the truck at our very cool home base at the Yard (AKA The Alchemist Bar), Parklands Road, Westlands. The Mama Rocks food truck will also be COMING TO YOU – at the heart of the events scene. Follow us on Facebook or Instagram social media to keep updated about our location. And if you’re not there, MAMA DELIVERS through our partners Hello Food (Mama Rocks) (5km radius from Westlands) And MAMA CATERS. For a fun alternative catering solution that your guests will surely remember, choose Mama Rocks to cater for your event, private party or corporate function.","Nairobi",,"#48 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/59/a2/c5/saucy.jpg","40","Open Now","3.8736491203308105","$$ - $$$","77","false","false","12119585"
"African","Ethiopian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"Africa/Nairobi","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"http://www.abyssiniarestaurantnairobi.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Nairobi","Kenya",,,"Brookside Grove","Westlands","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Table Service",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Beef","Lamb",,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","41","Abyssinia",,"Brookside Grove Westlands, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d3794631-Reviews-Abyssinia-Nairobi.html","-1.258031","36.7874",,,"5","5","24","87","131","+254 725 151515","RESTAURANT",,"4.5","http://www.abyssiniarestaurantnairobi.com/menu/","",,"Nairobi",,"#41 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/47/16/e0/photo1jpg.jpg","101","Open Now","3.9850847721099854","$$ - $$$","252","false","false","3794631"
"American","Steakhouse","Bar","Barbecue","Vegan Options","Gluten Free Options",,,,,,,,,,,"Africa/Nairobi","1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"http://www.thegrilllshackkenya.co.ke/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nairobi","Kenya",,,"Westlands Road","Westgate Mall","Delivery","Takeout","Reservations","Seating","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Digital Payments",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheeseburger","Burger","Ribs","Salad","Lamb chops","Beef",,,,,,,,,,,,,,,,,,,"restaurant","832","38","The Grilll Shack Kenya",,"Westlands Road Westgate Mall, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d16658568-Reviews-The_Grilll_Shack_Kenya-Nairobi.html","-1.256944","36.803333",,,"10","5","9","16","144","+254 700 935512","RESTAURANT","grilllshack@simbisakenya.co.ke","4.5","http://www.thegrilllshackkenya.co.ke/","","This is what we are all about! The Grilll Shack is homegrown in Dubai, offering a predominantly meaty menu of steaks, ribs and burgers in a casual yet industrial style setting in The Westgate Shopping Mall. American at the core, with influences of food from across the globe. The open style kitchen presents something unique to its food court setting, allowing diners to feast with their eyes and enjoy the theatre of the kitchen. Alongside towering burgers, made with 100% pure Angus beef, quality wet-aged steaks and melt in the mouth ribs, the menu offers an enticing selection of starters, burritos, salads, seafood and more.","Nairobi",,"#38 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/17/45/2f/25/the-grilll-shack-launch.jpg","88","Open Now","3.9997942447662354","$$ - $$$","184","false","false","16658568"
"International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"Africa/Nairobi",,,,,,,"900","720","1320","1110",,,"900","720","1320","1110",,,"900","720","1320","1110",,,"900","720","1320","1110",,,"900","720","1320","1110",,,"1320","1110",,,,,"http://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nbocp/hoteldetail/dining#",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner","Lunch",,,,,"Dinner","Lunch",,,,,"Nairobi","Kenya","00100",,"Kenya Road, UpperHill","Crowne Plaza","Reservations","Seating","Parking Available","Serves Alcohol","Digital Payments","Free Wifi","Full Bar",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salad","Calamari","Salmon",,,,,,,,,,,,,,,,,,,,,,"restaurant","832","39","Sikia Fine Dining Restaurant",,"Kenya Road, UpperHill Crowne Plaza, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7789848-Reviews-Sikia_Fine_Dining_Restaurant-Nairobi.html","-1.300669","36.81499",,,"2","1","1","12","90","+254 20 2746061","RESTAURANT","reservations@cpnairobi.com","5",,"","Fine Dining Cuisine offering a unique mix of exclusivity, comfort, sophistication and design. The a la carte menu is a tantalizing play of local and international cuisine, meticulously fused to offer the finest dining experience in Nairobi. Sikia is open for Lunch from 12 noon to 3:00p.m. and Dinner from 6.30pm to 10.00pm. Open six days a week Monday to Saturday. Closed on public holidays.","Nairobi",,"#39 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/00/78/ac/sikia-fine-dining-restaurant.jpg","61","Open Now","3.987764835357666","$$$$","106","false","false","7789848"
"Lebanese","Healthy","Middle Eastern","Mediterranean","Vegetarian Friendly","Vegan Options","Halal",,,,,,,,,,"Africa/Nairobi","1350","540",,,,,"1350","540",,,,,"1350","540",,,,,"1350","540",,,,,"1350","540",,,,,"1350","540",,,,,"1350","540",,,,,"https://www.hobhouse.co/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"Breakfast","Lunch","Dinner","Brunch",,,"Nairobi","Kenya","00621",,"Kinanda Road","Kitisuru","Gift Cards Available","Delivery","Takeout","Reservations","Outdoor Seating","Seating","Wheelchair Accessible","Free Wifi","Accepts Credit Cards","Street Parking","Free off-street parking","Digital Payments",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Falafel",,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","72","Hob House","KES 445 - KES 2,965","Kinanda Road Kitisuru, Nairobi 00621 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12394465-Reviews-Hob_House-Nairobi.html","-1.225585","36.76861",,,"3","0","2","10","43","+254 702 076969","RESTAURANT","info@hobhouse.co","4.5","https://hobhouse.co/hob-house-menu/","","We serve Levant cuisine with mainly vegetarian and vegan dishes. We also serve a selection of chicken and fish dishes for non-vegetarians. Our fresh produce is sourced from the local organic farms near Nairobi. Our key spices and herbs are sourced directly from Lebanon to offer an authentic taste to our dishes. We strive to offer healthy options, and serve gluten-free upon request.","Nairobi",,"#72 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/11/6f/a8/8d/20171203-152347-largejpg.jpg","113","Open Now","3.604997396469116","$$ - $$$","58","false","false","12394465"
